French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
laisser,let
car,because
mettre,to put
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
donner,give
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
point,point
suite,after
pardon,sorry
minutes,minutes
demandé,request
droit,law
aimerais,would like to
mari,husband
enfin,finally
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
